,Stock,Datetime,user.screen_name,id_str,text,Sentiment,Known_Pumper,Price_Region,Inflection_Point,user_pumper_probability,hashtag_count,emoji_count,keyword_count,stock_ticker_count,url_count,pumper_category
3770,TTCM,2021-03-29 18:03:15+00:00,OTC_ARMY,1376595826231795714a,"$PACV to Acquire a $40 Million Food and Beverage Distributor https://t.co/rerFjLQ6Gs

@jctb1 $igen $dlcr $rnva… https://t.co/OeWod5uiMV",1,0,0.0,,0.025277627576578,0,0,0,1,2,0
4513,EEENF,2021-03-24 16:30:48+00:00,OTC_ARMY,1374760620101234688a,"$AGYP @AlliedEnergyCo1 #AGYP 80% revenue interest in multiple #northernTexas #oilwells 

https://t.co/NZOU4pikZH… https://t.co/tzNt09DxPM",0,1,1.0,,0.8,3,0,0,1,2,1
579,DPLN,2021-03-24 18:16:29+00:00,bwatts_81,1374787218481369088a,@rsweetchaos613 $DPLN appears to be done. It fell below it's trend line on my chart. I'd take your profits and run.… https://t.co/zkUIxLZgNQ,-1,0,0.0,,0.025277627576578,0,0,1,1,1,0
6381,EEENF,2021-03-31 13:50:50+00:00,AlexDelarge6553,1377257079723978757a,10 CENTS $EEENF TODAY! https://t.co/d8kAZfkTQi,1,1,1.0,,0.8,0,0,0,1,1,1
44,CERPQ,2021-03-23 16:37:27+00:00,AngryRed316,1374399905066741770a,$cerpq I definitely wouldn’t want to be out of the bag when the RM happens https://t.co/ILcAOEBNT0,1,0,-1.0,,0.025277627576578,0,0,0,0,1,0
149,CERPQ,2021-03-25 22:21:26+00:00,nayyar_archit,1375211248233586688a,That report drops sooner $CERPQ https://t.co/eIJJgvdO7n,0,0,-1.0,,0.025277627576578,0,0,0,1,1,0
81,CERPQ,2021-03-24 16:24:38+00:00,Laidback2007,1374759069706256388a,$Cerpq this is gone get tasty going into next week ,1,0,-1.0,,0.025277627576578,0,1,0,0,0,0
8431,EEENF,2021-04-05 16:22:14+00:00,AlexDelarge6553,1379107119866249223a,$eeenf .10 coming!! As predicted!! https://t.co/GWh1Eilt5i,1,1,-1.0,,0.8,0,0,0,0,1,1
2572,GYST,2021-03-29 15:57:32+00:00,Thepennystalke1,1376564188018016263a,$ Https://t.co/63vioqbzfi,0,1,1.0,,0.8,0,0,0,1,1,1
2708,GYST,2021-03-29 17:03:22+00:00,SniperTradesOTC,1376580755736907778a,$GYST resistance break https://t.co/FWV6Ky1W6R,1,1,0.0,,0.8,0,0,0,1,1,1
336,CERPQ,2021-03-29 18:59:20+00:00,sumayawho,1376609939288956929a,I don’t care I’m not selling $cerpq https://t.co/PC4VCTXlvg,1,0,,,0.025277627576578,0,0,0,0,1,0
4317,SEAC,2021-03-30 09:17:36+00:00,TradingKingErlc,1376825928496652288a,"$SEAC 
Wants that 2 break, seems like dips are getting bought up.",1,0,-1.0,,0.025277627576578,0,0,0,1,0,0
9577,EEENF,2021-04-07 02:04:00+00:00,Hayanmermaid808,1379615912626544640a,@christinebarnum Sorry !!! I’m looking at my  $EEENF investment and I’m not blaming anybody for what I chose ??? So… https://t.co/Tlu3aw0Nbb,-1,0,0.0,,0.025277627576578,0,0,0,1,1,0
4441,SEAC,2021-03-30 23:34:51+00:00,prrobblns_,1377041664095698944a,RT @saska_238: HAPPY MONDAY!!!! Love me some good Mondays ️ $SEAC quick $500 executed as planned. Got scared away at $1.70 when it couldn'…,1,0,-1.0,,0.0065223260113674,0,1,0,1,0,0
2495,GYST,2021-03-29 15:32:12+00:00,heyimsurge,1376557811669348357a,RT @AlanWeedspan: $GYST explosive move to new all-time highs .063! This float could push to a dime in a sneeze. High volume blue-sky breako…,1,0,1.0,,0.025277627576578,0,0,1,1,0,0
4302,SEAC,2021-03-30 04:44:16+00:00,xavierdvega,1376757141378371587a,"$CSCW 

$UPC $CPHI $HGEN $CYAN $SEAC $FLY $SXTC $CLBRZ $CAN $MOGO $DLPN $TME $NAKD $RIOT $WKEY $EBON $UVXY $LGHL… https://t.co/Z9gE5c1bZ4",0,0,-1.0,,0.025277627576578,0,0,0,15,1,0
4187,SEAC,2021-03-29 20:47:45+00:00,caveman20141,1376637225690148867a,$SEAC 50% from entry https://t.co/NN0OsbfDxO https://t.co/Dc5QRukMAz,1,0,-1.0,,0.025277627576578,0,0,0,1,2,0
4076,SEAC,2021-03-29 18:38:39+00:00,SnipeTrading,1376604733193003008a,-$89 today. 2nd red day this month. Calling a day to avoid boredom trading in slow day. $RKT had a 1m and 5m revers… https://t.co/bTSYWSBxnc,-1,0,0.0,,0.025277627576578,0,0,0,0,1,0
4957,EEENF,2021-03-26 14:52:18+00:00,OTC_ARMY,1375460607260983301a,"$CBDL Big Update Soon 

https://t.co/dNDQjTOy9H

$AABB $AFOM $AGYP $ALST $AMC $ANY $BDGR $BLPG $BTHR $CAN $CBD… https://t.co/GxYluDrzbO",1,1,1.0,,0.8,0,1,0,8,2,1
4438,SEAC,2021-03-30 23:31:26+00:00,prrobblns_,1377040803680378880a,"RT @StocksToTrade: HAPPY MONDAY!!! Who's ready to crush it this week? To get your week started right, here are Monday morning's Top % Gaine…",1,0,-1.0,,0.0065223260113674,0,0,0,0,0,0
2673,GYST,2021-03-29 16:49:02+00:00,S_AnglinIV,1376577150002864128a,RT @SpaghettiCode4: OTC $GYST forming a wedge https://t.co/nMkD64mDB1,-1,0,1.0,,0.025277627576578,0,0,0,1,1,0
264,CERPQ,2021-03-26 22:22:55+00:00,JacerJulian,1375574008859484164a,RT @sumayawho: Wow we are going to multiple dollars for sure  $CERPQ,1,0,-1.0,,0.025277627576578,0,3,0,1,0,0
3466,TTCM,2021-03-25 03:28:24+00:00,keifco,1374926110102843396a,$TTCM One of the first penny stocks I ever brought and still holding. https://t.co/YGWUICrTle,1,0,0.0,,0.025277627576578,0,0,0,1,1,0
3364,GYST,2021-04-01 20:14:15+00:00,CraigVanke,1377715957712490500a,RT @ToastTradesOTC: The #OTC has been really shit lately. Short term day trades/flips have been awarding nothing. Very happy to see the sol…,-1,0,-1.0,,0.025277627576578,1,0,0,0,0,0
2821,GYST,2021-03-29 18:09:35+00:00,chiefs5858,1376597417802489856a,"$GYST Intraday chart, everything in tact from Volume, Momo, and accumulation https://t.co/b4gsqUXsox",0,0,0.0,,0.025277627576578,0,0,2,1,1,0
3671,TTCM,2021-03-29 16:42:20+00:00,sneakerologis11,1376575462722265091a,$TTCM HUGEEEEEEEE!!! https://t.co/osZnDMaKoh,1,0,0.0,,0.025277627576578,0,0,0,1,1,0
8993,EEENF,2021-04-06 00:38:04+00:00,killa_pump,1379231898560565249a,So now what the brokers make this shit volatile to get even more money off the trades. I've about had it. $eeenf yo… https://t.co/YnXNw04KRt,-1,0,-1.0,-1.0,0.025277627576578,0,0,0,0,1,0
2503,GYST,2021-03-29 15:38:02+00:00,FatCash7,1376559280388763648a,AGREE AND YOUVE BEEN SPOT ON WITH YOUR PREDICTIONS. IVE NOTICED THIS GUY. $GYST https://t.co/UciodwpsKV,1,1,1.0,,0.8,0,0,0,1,1,1
9284,EEENF,2021-04-06 13:33:48+00:00,FrnkTss,1379427118275252228a,$EEENF serious AM Dump https://t.co/uAbr82dXbw,-1,0,-1.0,,0.0010499477009886,0,0,1,1,1,0
2792,GYST,2021-03-29 17:53:38+00:00,Stockminds009,1376593405615206412a,$GYST - Are we there yet? Almost! https://t.co/G8HvNpf5z1,1,0,0.0,,0.025277627576578,0,0,0,1,1,0
3474,TTCM,2021-03-25 13:29:44+00:00,Greenthumbs333,1375077441593434112a,$TTCM https://t.co/Ujuzaoqrfk,0,0,0.0,,0.025277627576578,0,0,0,1,1,0
3634,TTCM,2021-03-29 15:59:48+00:00,Jerress,1376564760158736385a,"$TTCM 
https://t.co/NqL5Firk5g https://t.co/j4Dc1flWtl",0,0,0.0,1.0,0.025277627576578,0,0,0,1,2,0
4000,SEAC,2021-03-29 16:25:08+00:00,StockHorizon,1376571135370878977a,Want to subscribe? Checkout our introductory offer with promo code NEWSUBDEAL! Latest top alert movers:  $CYAN… https://t.co/4VxzY6J9o3,0,0,0.0,,0.025277627576578,0,0,0,1,1,0
2787,GYST,2021-03-29 17:52:15+00:00,StockAlert8,1376593059350188036a,RT @StockAlert8: $GYST has filed a form U-1. Keep it on your radar..#BreakingNews #news #worldnews #media #ad #BREAKING #BULLISH #bitcoin #…,0,0,0.0,,0.025277627576578,8,0,1,1,0,0
3998,SEAC,2021-03-29 16:16:35+00:00,soletrade1,1376568984082870272a,"$CYAN $CPHI - broken stocks. short outer line and near vwap. once confirmed, add to my winners.

$SEAC - not watch… https://t.co/sY1TRiwzsH",-1,0,0.0,,0.025277627576578,0,0,0,3,1,0
6008,EEENF,2021-03-30 23:18:39+00:00,AlexDelarge6553,1377037587127353348a,$eeenf DD folks! Check it out! In at a penny https://t.co/wtiyMUiGxg,1,1,1.0,,0.8,0,0,0,0,1,1
8889,EEENF,2021-04-05 22:54:26+00:00,SparkyWilson3,1379205818080460800a,"$EEENF
They're capping the well. Power outage caused issues. Cannot continue logging as it is too late in the seaso… https://t.co/9HkRHPlt0a",-1,0,-1.0,-1.0,0.0010310353699475,0,0,0,1,1,0
2887,GYST,2021-03-29 18:59:30+00:00,FatCash7,1376609981861146626a,will be interesting to see what $GYST  does in power hour and to close!!!! We'll see. https://t.co/jsWg3yqyYj,0,1,0.0,,0.8,0,0,0,1,1,1
3503,TTCM,2021-03-25 19:49:46+00:00,tripsmoolamoola,1375173081811972097a,@SpacTraderinTra bro Im telling ya $TTCM golden key to all #NFTs https://t.co/9cz9rnNELn,1,0,0.0,,0.0013273875419439,1,0,0,1,1,0
2301,GYST,2021-03-23 18:53:40+00:00,StockAlert8,1374434184643584001a,RT @StockAlert8: $GYST has update coming..Graystone Company Completes Formulation of its Nano-Delivery of the Fucoidan Longevity Booster ht…,0,0,1.0,,0.025277627576578,0,0,0,1,0,0
6513,EEENF,2021-03-31 16:29:50+00:00,AlexDelarge6553,1377297094617235462a,Well said!! I been screaming since Friday!! $eeenf!!! https://t.co/5G7E51jZ20,1,1,0.0,,0.8,0,0,0,0,1,1
9854,EEENF,2021-04-07 21:11:37+00:00,AlexDelarge6553,1379904719494246404a,"Thursday list

1 $drnk news AM

2 $vper green daily

3 $kync news

4 $dscr gold

5 $eeenf over sold

6 $pvdg 

7… https://t.co/Wl73N6nELz",1,0,0.0,,0.025277627576578,0,0,0,0,1,0
9089,EEENF,2021-04-06 02:03:26+00:00,AlexDelarge6553,1379253383387873280a,Yes like the movie Armageddon. Deep core drillings a bitch especially in space and Alaska. $eeenf I still love this… https://t.co/KvKq4VZie9,-1,0,-1.0,,0.025277627576578,0,0,0,0,1,0
3794,TTCM,2021-03-29 18:33:29+00:00,atouchofgoldllc,1376603433214611461a,$TTCM https://t.co/lC87OZT5vH,0,0,0.0,,0.025277627576578,0,0,0,1,1,0
4218,SEAC,2021-03-29 22:13:31+00:00,The_RockTrading,1376658808198418432a,RT @Gleszinski: @The_RockTrading Thanks for the Fibonacci extension tip. $SEAC ended up playing it near perfectly. Consolidation along the…,1,1,-1.0,,0.8,0,0,0,1,0,1
8742,EEENF,2021-04-05 20:13:59+00:00,TylerBlackPine,1379165440753065986a,$enzc $eeenf is a must own combo! https://t.co/BVmY7mWKTt,1,0,-1.0,,0.025277627576578,0,0,0,0,1,0
5948,EEENF,2021-03-30 19:28:47+00:00,AlexDelarge6553,1376979737810178049a,End of day buys IMO! $eeenf $ftxp two oils with great catalyst! I see gapping on news! In the AM https://t.co/114wREeEpB,1,1,1.0,,0.8,0,0,1,0,1,1
2724,GYST,2021-03-29 17:08:07+00:00,S_AnglinIV,1376581953026154505a,RT @SpaghettiCode4: $GYST is wild. My side account is booming. Can we see 10c!?,0,0,0.0,,0.025277627576578,0,0,0,1,0,0
2541,GYST,2021-03-29 15:50:59+00:00,heyimsurge,1376562539035779076a,$GYST multi-day runner candidate. Looking very impressive here. Has the ingredients to go ham… https://t.co/SjdVVKHMSr,1,0,1.0,,0.025277627576578,0,0,0,1,1,0
